product/productId,product/title,product/price,review/userId,review/profileName,review/helpfulness,review/score,review/time,review/summary,review/text
76,Mobile Action MA730 Handset Manager - Bluetooth Data Suite,unknown,202,A. Igoe,0/0,1.0,1233360000,Don't buy!,"First of all, the company took my money and sent me an email telling me the product was shipped. A week and a half later I received another email telling me that they are sorry, but they don't actually have any of these items, and if I received an email telling me it has shipped, it was a mistake.When I finally got my money back, I went through another company to buy the product and it won't work with my phone, even though it depicts that it will. I have sent numerous emails to the company - I can't actually find a phone number on their website - and I still have not gotten any kind of response. What kind of customer service is that? No one will help me with this problem. My advice - don't waste your money!"
76,Mobile Action MA730 Handset Manager - Bluetooth Data Suite,unknown,734,Steven Martz,0/0,5.0,1191456000,Mobile Action Bluetooth Mobile Phone Tool Software MA-730,Great product- tried others and this is a ten compared to them. Real easy to use and sync's easily. Definite recommended buy to transfer data to and from your Cell.
76,Mobile Action MA730 Handset Manager - Bluetooth Data Suite,unknown,398,"Daniel M. Johnson ""rocknbluesharp""",0/0,4.0,1186704000,good,works real good....a little hard to set up...web part doesnt work thru handset manager as advertised.....have to go into networking and turn it on
43,"USB Data Cable for Sony-Ericsson Z600, Z500, Z200, S700, P900, P802, P800, K700, T637, T630,T628, T618, T616, T610, T316, T310, T237, T226, T68i, T68, T62u, T39, R380 + Internet + Driver CD",unknown,316,E. Owens,4/5,4.0,1146182400,No instructions included...,"The price was right for this cable ($11.95+$4.94 S&H;) compared with Sony Ericssons offering ($25+). There are a few different prices on Amazon through the same company, MyNetDeals.com, so make sure you get the $11.95 one.So I popped the CD in, followed the 2 line .txt instruction file on the disk and...nothing happened?!? Well, my phone started to charge. If you have a similar problem you may try what I did.I had previously installed a variety of the S.E. downloadable software on my computer. It took me about 15 minutes of fumbling around, but I made my way to the Phone Monitor Options by opening the catcheventatl.exe in C:\Program Files\Sony Ericsson\Mobile\Mobile Phone Monitor. From the pop-up window you have to hit the Options button. There may be a better way to get here, but this is how I did it. Go to the COM Ports tab and enable all of the COM ports. It told me it wouldnt enable COM4 because of an IR conflict, but within a few seconds, my phone was recognized, presumably on one of the remaining ports. I may not have had this issue if I installed the software fresh with the cable, but I had previously been using the IR feature to transfer data. The cable is faster than IR, but not tremendously. The big benefit is you dont have to worry about losing line of site and messing up your download.Hope you have success."
43,"USB Data Cable for Sony-Ericsson Z600, Z500, Z200, S700, P900, P802, P800, K700, T637, T630,T628, T618, T616, T610, T316, T310, T237, T226, T68i, T68, T62u, T39, R380 + Internet + Driver CD",unknown,857,"Isaac Salas ""=CRBF=gB^link""",0/0,1.0,1173657600,NOT A DATA CABLE,this is NOT a DATA CABLE this is only a USB charger dont buy this.
43,"USB Data Cable for Sony-Ericsson Z600, Z500, Z200, S700, P900, P802, P800, K700, T637, T630,T628, T618, T616, T610, T316, T310, T237, T226, T68i, T68, T62u, T39, R380 + Internet + Driver CD",unknown,343,David M. Cantrell,0/0,4.0,1171584000,works as expected,There's not much to say about a data cable -- it works as expected. I am able to transfer files from my phone to the PC and vice-versa.
43,"USB Data Cable for Sony-Ericsson Z600, Z500, Z200, S700, P900, P802, P800, K700, T637, T630,T628, T618, T616, T610, T316, T310, T237, T226, T68i, T68, T62u, T39, R380 + Internet + Driver CD",unknown,283,J. S. Gaviota,0/0,5.0,1142467200,Excellent product!,"I have a Sony Ericsson K700i, which doesn't sell in the US, but after I received the USB Data Cable I have some troubles installing it but soon after those we're resolved I worked great, I'm very pleased with my purchase and would highly recommend this product and any other from MyNetDeals (electro_island), it's really a very big save from buying direct from Sony Ericsson. Thanks!."
43,"USB Data Cable for Sony-Ericsson Z600, Z500, Z200, S700, P900, P802, P800, K700, T637, T630,T628, T618, T616, T610, T316, T310, T237, T226, T68i, T68, T62u, T39, R380 + Internet + Driver CD",unknown,779,"Parathalyn ""Parathalyn""",0/0,1.0,1133654400,Beware 3rd Party Cables & Sony Ericsson Tech Support,"Well, it technically does what it is supposed to do--that is, allows you to transfer files from your phone to your computer or vice versa. But, it is rude & puts up a fight to do so. The thing came with no instructions, so it took forever to install. Once installed, it creates a desktop icon which can't be removed or modified...because it's not actually a desktop icon (when I figure out what exactly this thing is, I'll post it) or in the registry at all. Actual transfer of files takes over the entire computer (don't have anything else running) and is slower than a floppy drive! I've found a ton of settings and such that the software changed without asking (rude in my book), so I'm probably going to have to re-install Windows to get everything back the way I like it. Although, it's nice to have the pics off my phone to email and have a custom wallpaper & ringtones on my phone, I'm really thinking of returning this rude little punk. If I could, I'd give it zero stars.(I'm not 100% sure that this will make a difference since the main problem appears to be Sony's software that you download from them, but the cable appears to be made by someone other than Sony and the oficial Sony Data cable is pretty much only sold through Sony's website.)Update on 6/4/2006:I was given a data cable for my Sony Ericsson z500a as a gift (turned out to be a 3rd party cable like this product is). At first, I was happy that I'd be able to transfer pictures taken with my camera phone to my computer to email to friends back home...but after installing everything, the thing only worked a few times at a nerve-rackingly slow pace. After tons of headaches messing with that, I contacted Sony's tech support. They don't seem to know how to figure out problems very well, and about all they could do on that call was get my info to send out a new cable. The new cable (Sony Ericsson cable) doesn't seem to work either, and I've called them several times now--each time speaking with 2-3 reps.So, my advice would be to not bother with the data cable (third party or Sony's) since neither will work properly. If you have a third party cable such as this product, don't tell Sony tech support because then they won't help you, so you're basically just out the money you spent on a cheap unofficial cable. Just enjoy your Sony Ericsson z500a & watch anyone who has a camera phone that has a working data cable for ideas for your next phone."
43,"USB Data Cable for Sony-Ericsson Z600, Z500, Z200, S700, P900, P802, P800, K700, T637, T630,T628, T618, T616, T610, T316, T310, T237, T226, T68i, T68, T62u, T39, R380 + Internet + Driver CD",unknown,503,D. Cram,1/2,3.0,1135814400,"Undecided on product, but Electro Island is A+++ customer service!","I currently have this item for my S/E z500a phone. Though it doesn't seem to work yet, I will say that Electro Island is working with me on a daily basis to get it up and running...More to follow. This vendor has some of the best and most polite service I've encountered from an online purchase."
43,"USB Data Cable for Sony-Ericsson Z600, Z500, Z200, S700, P900, P802, P800, K700, T637, T630,T628, T618, T616, T610, T316, T310, T237, T226, T68i, T68, T62u, T39, R380 + Internet + Driver CD",unknown,658,"Jonathan C. Phillips ""Chris""",6/10,4.0,1126915200,Good cable to have,This is a good cable to have. You don't need to subscribe to the data service to download/upload pictures and ringtones to your phone. This cable pays for itself in about one month.
